es_ID,paper_ID,cohort_ID,species_ID,species_common,species_latin,taxa,sex,n,k,est,R,fixed_yn,fixed_var,method,annual_event,location,country,long,lat,tag_period,notes,data_location,data_presentation,title,pub_year,authors,journal,DOI,Papers for Data Extraction::fulltext_ID
es001,p001,c001,s039,American redstart,Setophaga ruticilla,Landbird,B,74,2.64,ICC,0.382,N,NA,Conventional,Nonbreed_depart,southwestern Jamaica at the Font Hill Nature reserve,North America,-77.95,18.03,Non-breeding,,"p. 3440, text, results",text,Rainfall-induced changes in food availability modify the spring departure programme of a migratory bird,2011,"Studds, C. E. and Marra, P. P.",Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2011.0332,ft161
es002,p002,c002,s029,American white pelican,Pelecanus erythrorhynchos,Waterbird,B,12,2,ICC,0.02,N,NA,Satellite,Depart_breed,Multiple areas in US,North America,-89.883,32.48,Non-breeding,,"Table 1, p. 4",text,Advances and environmental conditions of spring migration phenology of American white pelicans,2017,"King, D.T. and Wang, G. and Yang, Z. and Fischer, J. W.",Scientific Reports,10.1038/srep40339,ft163
es003,p002,c002,s029,American white pelican,Pelecanus erythrorhynchos,Waterbird,B,12,2,ICC,0.318,N,NA,Satellite,Arrival_breed,Multiple areas in US,North America,-89.883,32.48,Non-breeding,,"Table 1, p. 4",text,Advances and environmental conditions of spring migration phenology of American white pelicans,2017,"King, D.T. and Wang, G. and Yang, Z. and Fischer, J. W.",Scientific Reports,10.1038/srep40339,ft163
es004,p002,c002,s029,American white pelican,Pelecanus erythrorhynchos,Waterbird,B,12,2,ICC,0.367,N,NA,Satellite,Nonbreed_arrival,Multiple areas in US,North America,-89.883,32.48,Non-breeding,,"Table 1, p. 4",text,Advances and environmental conditions of spring migration phenology of American white pelicans,2017,"King, D.T. and Wang, G. and Yang, Z. and Fischer, J. W.",Scientific Reports,10.1038/srep40339,ft163
es005,p002,c002,s029,American white pelican,Pelecanus erythrorhynchos,Waterbird,B,12,2,ICC,0.763,N,NA,Satellite,Nonbreed_depart,Multiple areas in US,North America,-89.883,32.48,Non-breeding,,"Table 1, p. 4",text,Advances and environmental conditions of spring migration phenology of American white pelicans,2017,"King, D.T. and Wang, G. and Yang, Z. and Fischer, J. W.",Scientific Reports,10.1038/srep40339,ft163
es006,p003,c003,s016,Barn swallow,Hirundo rustica,Landbird,M,15,2,ICC,0.5,N,NA,Conventional,Arrival_breed,"Badajoz, Southern Spain",Europe,-6.49,38.53,Breeding,,"p. 58, text, results",text,Antioxidants and condition-dependence of arrival date in a migratory passerine,2004,"Ninni, P. and de Lope, F. and Saino, N. and Haussy, C. and Moller, A. P.",Oikos,10.1111/j.0030-1299.2004.12516.x,ft012
es007,p004,c004,s016,Barn swallow,Hirundo rustica,Landbird,M,23,5.2,ICC,0.51,N,NA,Conventional,Arrival_breed,"Kraghede, Denmark",Europe,10,57.2,Breeding,,"p. 204, text, results",text,Heritability of arrival date in a migratory bird,2001,"Moller, A. P.",Proceedings of the Royal Society B-Biological Sciences,10.1098/rspb.2000.1351,ft062
es008,p005,c005,s023,Bar-tailed godwit,Limosa lapponica baueri,Waterbird,B,11,2,ICC,0.38,N,NA,Conventional,Nonbreed_depart,"western Firth of Thames, NZ",Not,175.316,-37.183,Non-breeding,,"p. 518, text, results",text,Consistent annual schedules in a migratory shorebird,2006,"Battley, P. F.",Biology Letters,10.1098/rsbl.2006.0535,ft029
es009,p006,c006,s023,Bar-tailed godwit,Limosa lapponica baueri,Waterbird,B,6,2,ICC,0.47,N,NA,GLS,Depart_breed,"Manawatu River estuary, New Zealand",Not,175.36,-40.783,Non-breeding,,"Table 1, p. 6",text,Absolute Consistency: Individual versus Population Variation in Annual-Cycle Schedules of a Long-Distance Migrant Bird,2013,"Conklin, J. R. and Battley, P. F. and Potter, M. A.",PLoS ONE,10.1371/journal.pone.0054535,ft001
es010,p006,c007,s023,Bar-tailed godwit,Limosa lapponica baueri,Waterbird,B,44,2,ICC,0.66,N,NA,Conventional,Nonbreed_arrival,"Manawatu River estuary, New Zealand",Not,175.36,-40.783,Non-breeding,,"Table 1, p. 6",text,Absolute Consistency: Individual versus Population Variation in Annual-Cycle Schedules of a Long-Distance Migrant Bird,2013,"Conklin, J. R. and Battley, P. F. and Potter, M. A.",PLoS ONE,10.1371/journal.pone.0054535,ft001
